기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"2023","프랑스","72","철강",10697.1,18940,10849.2,101871,-82931
"2024","헝가리","72","철강",15807.1,18383,23.2,35,18348
"2022","프랑스","72","철강",5983.0,18092,17756.7,81923,-63831
"2020","헝가리","72","철강",17756.0,17485,460.6,98,17387
"2020","체코공화국","72","철강",7450.2,15715,544.9,1702,14013
"2021","그리스","72","철강",10529.1,13882,453.4,1040,12842
"2021","프랑스","72","철강",8185.0,12900,8633.7,79639,-66739
"2024","아일랜드","72","철강",9554.2,11222,1.1,60,11162
"2024","프랑스","72","철강",5839.1,10437,10499.6,106572,-96135
"2023","아일랜드","72","철강",8673.9,10341,1.8,17,10324
"2022","크로아티아","72","철강",2377.6,9696,0.0,0,9696
"2021","덴마크","72","철강",9476.8,9306,32.7,85,9221
"2024","리투아니아","72","철강",10385.5,8485,1.5,4,8481
"2023","불가리아","72","철강",8289.3,8120,0.0,0,8120
"2023","핀란드","72","철강",6151.2,7957,8144.1,28668,-20711
"2021","크로아티아","72","철강",2894.7,7917,3.1,4,7913
"2023","라트비아","72","철강",6636.3,7422,37.9,43,7380
"2020","크로아티아","72","철강",4232.5,7037,0.0,0,7037
"2021","슬로바키아","72","철강",3519.2,6921,128.8,504,6417
"2022","슬로바키아","72","철강",1795.8,6784,6.1,38,6746
"2022","아일랜드","72","철강",3529.2,6605,3.3,47,6557
"2020","그리스","72","철강",7275.1,6178,37.1,3,6175
"2024","크로아티아","72","철강",4724.3,6156,0.0,0,6156
"2023","슬로바키아","72","철강",1181.1,5879,10.4,98,5781
"2023","리투아니아","72","철강",4214.5,5272,0.0,0,5272
"2022","오스트리아","72","철강",2428.1,5262,3444.2,20892,-15630
"2020","슬로바키아","72","철강",3400.4,5219,135.3,176,5043
"2021","에스토니아","72","철강",3033.2,5106,605.5,1860,3246
"2020","핀란드","72","철강",5403.6,4991,9754.0,22561,-17570
"2021","핀란드","72","철강",3795.1,4882,11559.6,26360,-21478
"2023","오스트리아","72","철강",1672.1,4876,2112.2,16953,-12077
"2021","리투아니아","72","철강",3007.5,4658,22.9,44,4614
"2021","오스트리아","72","철강",2761.6,4622,7468.1,26023,-21401
"2022","리투아니아","72","철강",2631.6,4357,28.5,8,4349
"2024","슬로바키아","72","철강",1089.8,3964,22.0,42,3922
"2024","핀란드","72","철강",2908.7,3641,5171.5,14893,-11253
"2020","리투아니아","72","철강",3889.6,3583,1.1,27,3557
"2024","라트비아","72","철강",3289.1,3487,0.0,0,3487
"2020","에스토니아","72","철강",3563.1,3062,248.6,685,2376
"2023","크로아티아","72","철강",1758.2,2844,0.0,0,2844
"2021","룩셈부르그","72","철강",2432.5,2580,313.1,456,2125
"2022","핀란드","72","철강",1504.0,2355,8747.7,25605,-23250
"2022","에스토니아","72","철강",1092.4,2047,150.7,1358,690
"2020","오스트리아","72","철강",542.3,1835,7783.0,39006,-37171
"2020","불가리아","72","철강",3392.4,1810,0.0,0,1810
"2023","에스토니아","72","철강",1262.2,1624,720.0,2946,-1323
"2022","불가리아","72","철강",812.5,1327,0.2,1,1326
"2021","아일랜드","72","철강",853.9,1290,1.1,26,1264
"2024","불가리아","72","철강",1281.3,1274,0.0,0,1274
"2020","아일랜드","72","철강",890.1,882,175.4,105,777
"2024","에스토니아","72","철강",799.9,881,136.1,647,234
"2022","룩셈부르그","72","철강",55.2,496,893.9,1616,-1120
"2022","라트비아","72","철강",291.2,328,0.0,0,328
"2021","불가리아","72","철강",50.6,310,0.0,0,310
"2024","오스트리아","72","철강",299.4,295,1772.7,11946,-11652
"2021","라트비아","72","철강",315.5,287,0.0,0,287
"2020","라트비아","72","철강",243.1,248,0.0,0,248
"2024","룩셈부르그","72","철강",5.4,92,105.1,250,-158
"2021","사이프러스","72","철강",58.6,46,111.0,30,16
"2023","룩셈부르그","72","철강",2.7,45,630.9,897,-852
"2020","몰타","72","철강",0.1,0,0.0,0,0
"2020","룩셈부르그","72","철강",0.0,0,504.4,495,-495
"2020","사이프러스","72","철강",0.0,0,1.0,0,0
"2021","몰타","72","철강",0.0,0,4.8,0,0
"2022","몰타","72","철강",0.0,0,11.0,1,-1
"2022","사이프러스","72","철강",0.0,0,16.3,3,-3
"2024","몰타","72","철강",0.0,0,97.7,32,-32
